선수명,팀명,포지션,역할군,평가점수_Raw,경기수,AI평점
이태석,FC서울,LB,DF(통곡의벽),4.576923076923077,13,62
강윤구,울산 HD FC,CAM,MF(사령관),24.38235294117647,17,59
이호재,포항 스틸러스,CM,MF(사령관),18.444444444444443,27,56
김륜성,포항 스틸러스,LB,DF(통곡의벽),1.625,4,53
델브리지,인천 유나이티드,CB,DF(통곡의벽),11.464285714285714,14,84
민성준,인천 유나이티드,GK,GK(수호신),43.0,11,53
마사,대전 하나 시티즌,CM,MF(사령관),27.8,10,61
잭슨,수원FC,CB,DF(통곡의벽),6.45,20,68
윤일록,울산 HD FC,RB,DF(통곡의벽),3.3125,24,58
공민현,대전 하나 시티즌,CF,ST(해결사),8.142857142857142,7,62
홍준호,제주SK FC,CB,DF(통곡의벽),4.166666666666667,15,61
송민규,전북 현대 모터스,LF,ST(해결사),15.576923076923077,26,74
김준홍,전북 현대 모터스,GK,GK(수호신),47.3,10,58
박진섭,전북 현대 모터스,CB,DF(통곡의벽),13.045454545454545,22,89
맹성웅,전북 현대 모터스,CM,MF(사령관),48.42857142857143,7,72
이준호,전북 현대 모터스,CF,ST(해결사),1.5,4,52
박창우,전북 현대 모터스,LB,DF(통곡의벽),2.25,10,55
박성훈,FC서울,CDM,MF(사령관),75.41666666666667,12,87
김신진,FC서울,CF,ST(해결사),8.222222222222221,9,63
김영권,울산 HD FC,CB,DF(통곡의벽),5.583333333333333,18,65
이규성,울산 HD FC,CM,MF(사령관),55.52272727272727,22,76
황재원,대구FC,RWB,DF(통곡의벽),7.148148148148148,27,70
오승훈,대구FC,GK,GK(수호신),73.69565217391305,23,90
박재현,대구FC,LWB,DF(통곡의벽),0.6333333333333333,15,50
홍철,대구FC,LWB,DF(통곡의벽),1.3148148148148149,27,52
김경민,광주FC,GK,GK(수호신),55.483870967741936,31,68
이상기,광주FC,RB,DF(통곡의벽),2.125,16,55
정호연,광주FC,CM,MF(사령관),86.03225806451613,31,93
이건희,광주FC,CF,ST(해결사),14.666666666666666,27,73
이명주,인천 유나이티드,CM,MF(사령관),63.08695652173913,23,80
민경현,인천 유나이티드,RW,WING(크랙),2.1407337358402447,13,72
김성민,인천 유나이티드,RWB,DF(통곡의벽),1.0,26,51
홍시후,인천 유나이티드,LW,WING(크랙),1.795220258427097,20,71
이창근,대전 하나 시티즌,GK,GK(수호신),65.76666666666667,30,80
김재우,대전 하나 시티즌,CB,DF(통곡의벽),7.5,4,71
김인균,대전 하나 시티즌,LW,WING(크랙),0.4287638224452849,22,69
배서준,대전 하나 시티즌,CM,MF(사령관),38.13636363636363,11,66
레안드로,대전 하나 시티즌,LW,WING(크랙),0.9561922165238743,15,69
송창석,대전 하나 시티즌,CF,ST(해결사),9.5,10,65
윤평국,포항 스틸러스,GK,GK(수호신),81.33333333333333,3,99
박찬용,포항 스틸러스,CB,DF(통곡의벽),5.083333333333333,6,64
윤민호,포항 스틸러스,CAM,MF(사령관),22.642857142857142,14,58
정재희,포항 스틸러스,RW,WING(크랙),1.5900297908280965,31,71
이규백,포항 스틸러스,CB,DF(통곡의벽),2.75,4,57
김동준,제주SK FC,GK,GK(수호신),66.6774193548387,31,81
최영준,제주SK FC,CM,MF(사령관),61.27777777777778,9,79
김주공,제주SK FC,RF,ST(해결사),14.2,5,72
한종무,제주SK FC,CM,MF(사령관),20.192307692307693,26,56
안태현,제주SK FC,CB,DF(통곡의벽),7.0,29,70
이승우,수원FC,CAM,MF(사령관),32.416666666666664,18,63
엄원상,울산 HD FC,RW,WING(크랙),0.8675771025306436,26,69
박용희,대구FC,CM,MF(사령관),24.804347826086957,23,59
김진규,전북 현대 모터스,CM,MF(사령관),63.0,9,80
일류첸코,FC서울,CF,ST(해결사),25.9375,32,91
주세종,대전 하나 시티즌,CDM,MF(사령관),78.26190476190476,21,88
이용,수원FC,RB,DF(통곡의벽),4.1,25,61
갈레고,강원FC,LW,WING(크랙),5.874800048071625,4,78
마틴 아담,울산 HD FC,CF,ST(해결사),12.4,10,69
박세진,대구FC,CM,MF(사령관),37.724137931034484,29,66
김강산,대구FC,CM,MF(사령관),79.11111111111111,9,89
김영준,대구FC,CF,ST(해결사),6.571428571428571,7,60
바셀루스,대구FC,CF,ST(해결사),9.642857142857142,14,65
조현태,강원FC,CB,DF(통곡의벽),1.8333333333333333,3,54
김우석,강원FC,CB,DF(통곡의벽),2.25,4,55
유인수,강원FC,LM,WING(크랙),0.7343063050569149,23,69
조진혁,강원FC,CF,ST(해결사),10.130434782608695,23,66
임상협,FC서울,LM,WING(크랙),1.4574707906114968,27,70
최철원,FC서울,GK,GK(수호신),47.25,8,58
권완규,FC서울,CB,DF(통곡의벽),9.807692307692308,26,78
윌리안,FC서울,CF,ST(해결사),14.545454545454545,22,73
이승준,FC서울,LW,WING(크랙),-3.196366501343614,8,62
황도윤,FC서울,CDM,MF(사령관),65.0,5,81
손승범,FC서울,LM,WING(크랙),17.992046810139602,3,99
장시영,울산 HD FC,LW,WING(크랙),0.5367439606910593,17,69
보야니치,울산 HD FC,CM,MF(사령관),70.95652173913044,23,84
아타루,울산 HD FC,CAM,MF(사령관),41.24,25,68
김민혁,울산 HD FC,CAM,MF(사령관),33.31818181818182,11,64
김인성,포항 스틸러스,RW,WING(크랙),1.39802941744361,27,70
백성동,포항 스틸러스,LW,WING(크랙),0.7142292005971129,31,69
오베르단,포항 스틸러스,CM,MF(사령관),81.15,30,90
강현제,포항 스틸러스,CAM,MF(사령관),8.333333333333334,3,50
조성권,광주FC,RB,DF(통곡의벽),2.3333333333333335,3,55
신창무,광주FC,CM,MF(사령관),14.3,10,53
정지훈,광주FC,LM,WING(크랙),7.556599809170815,5,81
연제운,제주SK FC,CB,DF(통곡의벽),7.625,16,72
유리 조나탄,제주SK FC,CF,ST(해결사),27.833333333333332,24,94
헤이스,제주SK FC,LW,WING(크랙),2.407811495642643,28,72
김승섭,제주SK FC,LW,WING(크랙),0.26034123490750916,8,68
전성진,제주SK FC,LWB,DF(통곡의벽),1.1111111111111112,9,51
정태욱,전북 현대 모터스,CB,DF(통곡의벽),9.535714285714286,14,78
이동준,전북 현대 모터스,RW,WING(크랙),3.7462064403281676,6,74
정민기,전북 현대 모터스,GK,GK(수호신),70.41176470588235,17,86
이규동,전북 현대 모터스,LW,WING(크랙),2.6431903587163115,6,72
김종우,포항 스틸러스,CM,MF(사령관),49.25,20,72
박철우,수원FC,LB,DF(통곡의벽),7.67741935483871,31,72
윤빛가람,수원FC,CM,MF(사령관),72.11290322580645,31,85
노동건,수원FC,GK,GK(수호신),40.666666666666664,3,50
이광혁,수원FC,RW,WING(크랙),5.832606750895194,5,78
임채민,제주SK FC,CB,DF(통곡의벽),8.571428571428571,14,75
신진호,인천 유나이티드,CM,MF(사령관),75.27777777777777,18,87
제르소,인천 유나이티드,LW,WING(크랙),3.3242727263187932,22,74
최우진,인천 유나이티드,LWB,DF(통곡의벽),1.0,26,51
음포쿠,인천 유나이티드,CM,MF(사령관),45.5,27,70
김건희,인천 유나이티드,CB,DF(통곡의벽),16.42,25,99
권한진,인천 유나이티드,CF,ST(해결사),19.428571428571427,7,81
박승호,인천 유나이티드,RW,WING(크랙),1.543143985130211,24,70
천성훈,인천 유나이티드,CF,ST(해결사),3.8,10,55
박민규,김천 상무 프로축구단,LB,DF(통곡의벽),5.933333333333334,15,66
윤종규,김천 상무 프로축구단,LB,DF(통곡의벽),4.333333333333333,9,61
김현욱,김천 상무 프로축구단,RW,WING(크랙),1.7925103241389915,14,71
원두재,김천 상무 프로축구단,CDM,MF(사령관),97.83333333333333,12,99
김태현,김천 상무 프로축구단,RB,DF(통곡의벽),6.461538461538462,13,68
정치인,김천 상무 프로축구단,LW,WING(크랙),6.105112886008089,15,78
김동현,김천 상무 프로축구단,CDM,MF(사령관),55.34615384615385,13,76
강현무,김천 상무 프로축구단,GK,GK(수호신),58.5,4,71
김진규,김천 상무 프로축구단,CM,MF(사령관),76.8,15,87
김재우,김천 상무 프로축구단,CB,DF(통곡의벽),7.6,5,72
구본철,김천 상무 프로축구단,CM,MF(사령관),22.666666666666668,3,58
이중민,김천 상무 프로축구단,CF,ST(해결사),10.2,15,66
김민준,김천 상무 프로축구단,RW,WING(크랙),1.5575878738754418,12,70
강현묵,김천 상무 프로축구단,CM,MF(사령관),44.5,15,70
이영준,김천 상무 프로축구단,CF,ST(해결사),13.125,8,70
김준홍,김천 상무 프로축구단,GK,GK(수호신),58.0,17,71
김현우,대전 하나 시티즌,CB,DF(통곡의벽),9.0,21,76
오재석,대전 하나 시티즌,RWB,DF(통곡의벽),5.0,17,64
이동원,대전 하나 시티즌,CM,MF(사령관),27.454545454545453,11,60
루빅손,울산 HD FC,LW,WING(크랙),3.1926816473599655,18,73
아사니,광주FC,RM,WING(크랙),1.191793070712656,10,70
정우재,전북 현대 모터스,LB,DF(통곡의벽),3.409090909090909,11,59
이주용,제주SK FC,LWB,DF(통곡의벽),4.136363636363637,11,61
김경재,광주FC,CB,DF(통곡의벽),3.5,7,59
김한길,광주FC,LB,DF(통곡의벽),3.3947368421052633,19,59
임유석,대전 하나 시티즌,CB,DF(통곡의벽),9.0,3,76
이강현,광주FC,CM,MF(사령관),40.5,11,68
안톤,대전 하나 시티즌,CB,DF(통곡의벽),12.568181818181818,22,87
정강민,대전 하나 시티즌,RW,WING(크랙),0.5244344038654895,5,69
오후성,광주FC,CF,ST(해결사),7.285714285714286,7,61
이승모,FC서울,CM,MF(사령관),70.93181818181819,22,84
한찬희,포항 스틸러스,CM,MF(사령관),44.51923076923077,26,70
베카,광주FC,CM,MF(사령관),17.11764705882353,17,55
강투지,강원FC,CB,DF(통곡의벽),8.5,27,74
야고,강원FC,CF,ST(해결사),29.333333333333332,18,97
보아텡,전북 현대 모터스,CM,MF(사령관),60.22222222222222,18,78
벨톨라,대구FC,CM,MF(사령관),75.56666666666666,15,87
구텍,대전 하나 시티즌,CF,ST(해결사),16.875,8,77
웰링턴,강원FC,CAM,MF(사령관),36.166666666666664,3,65
가브리엘,강원FC,CF,ST(해결사),5.4,10,58
홍윤상,포항 스틸러스,LW,WING(크랙),1.5119127446481186,28,70
박재용,전북 현대 모터스,CF,ST(해결사),10.3,10,66
안현범,전북 현대 모터스,RB,DF(통곡의벽),5.291666666666667,24,64
임창우,제주SK FC,RB,DF(통곡의벽),5.260869565217392,23,64
김건웅,제주SK FC,CM,MF(사령관),50.38461538461539,13,73
이지솔,강원FC,CB,DF(통곡의벽),5.583333333333333,6,65
조성준,포항 스틸러스,RM,WING(크랙),2.3821344418543635,4,72
어정원,포항 스틸러스,RB,DF(통곡의벽),4.333333333333333,24,61
조르지,포항 스틸러스,CF,ST(해결사),19.620689655172413,29,81
아스프로,포항 스틸러스,CB,DF(통곡의벽),6.7,5,69
이동희,포항 스틸러스,CB,DF(통곡의벽),15.826086956521738,23,97
김동진,포항 스틸러스,RM,WING(크랙),0.394637916922763,18,68
티아고,전북 현대 모터스,CF,ST(해결사),20.551724137931036,29,82
이재익,전북 현대 모터스,CB,DF(통곡의벽),4.970588235294118,17,63
전병관,전북 현대 모터스,LW,WING(크랙),0.8524634195858757,26,69
김태환,전북 현대 모터스,RB,DF(통곡의벽),0.9666666666666667,15,51
권창훈,전북 현대 모터스,RW,WING(크랙),7.171409949768434,6,80
김이석,강원FC,CM,MF(사령관),53.85294117647059,17,75
카미야,강원FC,CM,MF(사령관),18.35,10,55
이기혁,강원FC,CM,MF(사령관),87.58333333333333,30,93
박청효,강원FC,GK,GK(수호신),60.888888888888886,9,74
이상헌,강원FC,CF,ST(해결사),17.575757575757574,33,78
김강국,강원FC,CM,MF(사령관),52.48148148148148,27,74
신민하,강원FC,CB,DF(통곡의벽),1.2647058823529411,17,52
양민혁,강원FC,RM,WING(크랙),1.5794237545783252,33,71
린가드,FC서울,CAM,MF(사령관),38.833333333333336,21,67
술라카,FC서울,CB,DF(통곡의벽),15.0,3,95
최준,FC서울,RB,DF(통곡의벽),6.419354838709677,31,68
류재문,FC서울,CM,MF(사령관),57.79545454545455,22,77
포포비치,광주FC,CB,DF(통곡의벽),7.45,10,71
빅톨,광주FC,CF,ST(해결사),8.555555555555555,9,63
가브리엘,광주FC,LW,WING(크랙),1.9410678285040177,33,71
문민서,광주FC,LM,WING(크랙),1.0623672923679488,26,70
정지용,광주FC,CF,ST(해결사),9.875,8,65
변준수,광주FC,CB,DF(통곡의벽),12.368421052631579,19,86
최경록,광주FC,CF,ST(해결사),14.344827586206897,29,72
김진호,광주FC,LB,DF(통곡의벽),5.403225806451613,31,65
안혁주,광주FC,LM,WING(크랙),0.6068588182781376,12,69
박태준,광주FC,CM,MF(사령관),47.28260869565217,23,71
심상민,울산 HD FC,LB,DF(통곡의벽),3.375,8,59
고승범,울산 HD FC,CM,MF(사령관),79.29166666666667,24,89
김민우,울산 HD FC,LW,WING(크랙),2.0615261594811667,18,71
황석호,울산 HD FC,CB,DF(통곡의벽),5.9,15,66
강민우,울산 HD FC,CB,DF(통곡의벽),4.75,4,63
최강민,울산 HD FC,RB,DF(통곡의벽),1.911764705882353,17,54
마테우스,울산 HD FC,CM,MF(사령관),43.25,10,69
켈빈,울산 HD FC,LW,WING(크랙),2.1352864963262093,10,71
비니시우스,전북 현대 모터스,CF,ST(해결사),10.5,4,66
이영재,전북 현대 모터스,RW,WING(크랙),0.7112617962208511,29,69
에르난데스,전북 현대 모터스,LW,WING(크랙),2.3859537710267813,14,72
백민규,인천 유나이티드,CF,ST(해결사),4.75,4,57
요니치,인천 유나이티드,CB,DF(통곡의벽),11.75925925925926,27,85
이범수,인천 유나이티드,GK,GK(수호신),52.391304347826086,23,64
박진성,대전 하나 시티즌,LWB,DF(통곡의벽),7.409090909090909,11,71
노동건,대전 하나 시티즌,CB,DF(통곡의벽),3.5,3,59
윤도영,대전 하나 시티즌,RM,WING(크랙),2.3725926799875174,14,72
이정택,대전 하나 시티즌,CB,DF(통곡의벽),8.24,25,74
이순민,대전 하나 시티즌,CM,MF(사령관),75.97619047619048,21,87
김준범,대전 하나 시티즌,CF,ST(해결사),11.642857142857142,14,68
김승대,대전 하나 시티즌,RM,WING(크랙),0.8206552989844176,22,69
호사,대전 하나 시티즌,LW,WING(크랙),-0.6036736047482741,7,67
아론,대전 하나 시티즌,RWB,DF(통곡의벽),8.81578947368421,19,75
김한서,대전 하나 시티즌,LW,WING(크랙),-0.5194087102595978,10,67
홍정운,대전 하나 시티즌,CB,DF(통곡의벽),5.5,6,65
이준규,대전 하나 시티즌,CM,MF(사령관),38.625,8,67
이유현,강원FC,CM,MF(사령관),53.166666666666664,21,75
요시노,대구FC,CM,MF(사령관),56.38461538461539,26,76
정재상,대구FC,CF,ST(해결사),13.375,16,71
박세민,대구FC,LW,WING(크랙),1.4129580318838784,6,70
박진영,대구FC,CB,DF(통곡의벽),10.9,20,82
고명석,대구FC,CB,DF(통곡의벽),13.706896551724139,29,91
몬레알,수원FC,RW,WING(크랙),0.21768970423998538,11,68
권경원,수원FC,CB,DF(통곡의벽),8.595238095238095,21,75
지동원,수원FC,CF,ST(해결사),13.67741935483871,31,71
이재원,수원FC,CM,MF(사령관),63.94642857142857,28,80
정승원,수원FC,RW,WING(크랙),1.613972419764183,33,71
이준석,수원FC,RM,WING(크랙),2.876429873869656,7,73
정승배,수원FC,CF,ST(해결사),6.0,6,59
장영우,수원FC,LWB,DF(통곡의벽),4.6875,24,63
조준현,수원FC,CM,MF(사령관),16.333333333333332,3,54
트린다지,수원FC,CM,MF(사령관),20.333333333333332,3,57
김태한,수원FC,LWB,DF(통곡의벽),7.56,25,71
안데르손,수원FC,LW,WING(크랙),4.799207478303643,33,76
정재민,수원FC,CF,ST(해결사),10.583333333333334,12,66
안준수,수원FC,GK,GK(수호신),50.48275862068966,29,62
강상윤,수원FC,CM,MF(사령관),39.58,25,67
김동헌,김천 상무 프로축구단,GK,GK(수호신),63.583333333333336,12,78
김민덕,김천 상무 프로축구단,CB,DF(통곡의벽),6.305555555555555,18,68
박수일,김천 상무 프로축구단,RB,DF(통곡의벽),6.309523809523809,21,68
최기윤,김천 상무 프로축구단,LW,WING(크랙),0.19338247545416393,20,68
서민우,김천 상무 프로축구단,CM,MF(사령관),67.4047619047619,21,82
김봉수,김천 상무 프로축구단,CB,DF(통곡의벽),8.045454545454545,33,73
조현택,김천 상무 프로축구단,LB,DF(통곡의벽),4.388888888888889,9,62
박승욱,김천 상무 프로축구단,CB,DF(통곡의벽),8.055555555555555,27,73
이진용,김천 상무 프로축구단,CM,MF(사령관),19.85,10,56
이상민2,김천 상무 프로축구단,CM,MF(사령관),23.333333333333332,3,58
김대원,김천 상무 프로축구단,LW,WING(크랙),2.9539942413114564,26,73
모재현,김천 상무 프로축구단,RW,WING(크랙),1.6366920341645534,20,71
유강현,김천 상무 프로축구단,CF,ST(해결사),13.869565217391305,23,72
김태환,제주SK FC,RWB,DF(통곡의벽),6.05,30,67
탈레스,제주SK FC,CF,ST(해결사),6.375,8,60
백승헌,제주SK FC,RW,WING(크랙),2.9348033972478254,5,73
여홍규,제주SK FC,RW,WING(크랙),1.1630124868048448,11,70
제갈재민,제주SK FC,LW,WING(크랙),-0.0653456606220831,3,68
김재민,제주SK FC,LW,WING(크랙),-2.5290147694723277,6,63
이탈로,제주SK FC,CM,MF(사령관),66.5625,32,82
김정민,제주SK FC,CM,MF(사령관),46.65,20,71
강상우,FC서울,LB,DF(통곡의벽),4.783333333333333,30,63
진시우,전북 현대 모터스,CB,DF(통곡의벽),1.1666666666666667,3,52
박주영,전북 현대 모터스,LW,WING(크랙),-2.717180635405866,3,63
정한민,강원FC,CF,ST(해결사),12.0,14,69
브루노,광주FC,CB,DF(통곡의벽),7.75,4,72
하정우,수원FC,CF,ST(해결사),14.0,3,72
음라파,대전 하나 시티즌,CF,ST(해결사),15.9375,16,75
강주혁,FC서울,RM,WING(크랙),1.7469436832297731,9,71
이동경,김천 상무 프로축구단,CM,MF(사령관),42.714285714285715,14,69
박찬용,김천 상무 프로축구단,CB,DF(통곡의벽),8.75,8,75
이동준,김천 상무 프로축구단,RW,WING(크랙),-2.639720044470271,8,63
김강산,김천 상무 프로축구단,RB,DF(통곡의벽),9.8125,8,78
김찬,김천 상무 프로축구단,CF,ST(해결사),5.0,3,57
오인표,김천 상무 프로축구단,RB,DF(통곡의벽),1.75,4,53
맹성웅,김천 상무 프로축구단,CM,MF(사령관),43.5625,8,69
박대원,김천 상무 프로축구단,LB,DF(통곡의벽),4.590909090909091,11,62
박상혁,김천 상무 프로축구단,CF,ST(해결사),15.538461538461538,13,74
김승섭,김천 상무 프로축구단,LW,WING(크랙),-0.8668859068325934,8,66
추상훈,김천 상무 프로축구단,CAM,MF(사령관),14.375,4,53
이승원,김천 상무 프로축구단,CM,MF(사령관),59.416666666666664,6,78
호날두,FC서울,CF,ST(해결사),7.8,5,62
김문환,대전 하나 시티즌,RB,DF(통곡의벽),2.727272727272727,11,56
민상기,포항 스틸러스,CB,DF(통곡의벽),12.1,5,86
천성훈,대전 하나 시티즌,CF,ST(해결사),15.75,12,75
한국영,전북 현대 모터스,CDM,MF(사령관),71.9,15,85
손준호,수원FC,CM,MF(사령관),64.625,12,81
박정인,대전 하나 시티즌,LW,WING(크랙),2.2153419281709397,6,72
카이나,제주SK FC,RW,WING(크랙),2.15188451927599,13,72
김경민,강원FC,LM,WING(크랙),3.961497059522487,10,75
안재준,포항 스틸러스,CF,ST(해결사),9.75,8,65
김민우,대전 하나 시티즌,CM,MF(사령관),48.333333333333336,6,72
최건주,대전 하나 시티즌,LM,WING(크랙),6.895104926872085,10,80
진준서,강원FC,RW,WING(크랙),-10.257353381925954,4,50
헨리,강원FC,CF,ST(해결사),10.285714285714286,7,66
전진우,전북 현대 모터스,RW,WING(크랙),1.359229565985762,10,70
유제호,전북 현대 모터스,CM,MF(사령관),19.0,5,56
이상민,대전 하나 시티즌,LB,DF(통곡의벽),5.1,10,64
카이오,대구FC,CB,DF(통곡의벽),14.590909090909092,11,93
정우영,울산 HD FC,CDM,MF(사령관),70.16666666666667,6,84
코바체비치,강원FC,LW,WING(크랙),1.2720523500304184,10,70
갈레고,제주SK FC,LW,WING(크랙),1.850791392538629,11,71
노경호,수원FC,CM,MF(사령관),35.8125,8,65
야잔,FC서울,CB,DF(통곡의벽),11.428571428571429,7,84
하지치,강원FC,CF,ST(해결사),1.6666666666666667,3,52
야고,울산 HD FC,CF,ST(해결사),20.1,10,82
이탈로,대구FC,CF,ST(해결사),17.571428571428573,7,78
김현욱,대전 하나 시티즌,CF,ST(해결사),10.222222222222221,9,66
안드리고,전북 현대 모터스,RW,WING(크랙),2.4612577161967244,10,72
이승우,전북 현대 모터스,CF,ST(해결사),10.25,8,66
켈빈,대전 하나 시티즌,LM,WING(크랙),-10.246169302123164,5,50
밥신,대전 하나 시티즌,CM,MF(사령관),68.61111111111111,9,83
한교원,수원FC,RW,WING(크랙),6.12481602666486,7,78
남태희,제주SK FC,CF,ST(해결사),7.0,3,61
홍재석,제주SK FC,LW,WING(크랙),9.255184765539623,3,84
루카스,FC서울,LM,WING(크랙),5.084001415577494,7,77
이태석,포항 스틸러스,LB,DF(통곡의벽),1.5625,8,53
이찬동,대구FC,CM,MF(사령관),19.75,4,56
김태현,전북 현대 모터스,LB,DF(통곡의벽),9.8125,8,78
강현무,FC서울,GK,GK(수호신),64.0,8,78
박주영,제주SK FC,RW,WING(크랙),3.211961851066365,5,73
아라비제,울산 HD FC,CAM,MF(사령관),36.25,6,65
